#Sno.,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1
29,7.8,1267.351,0.0334700048,0.0462593563,68,454.6,0.3676228316,6.4288673607,3.5845558804,0.3855853399,2.0182718391,0.5289893442,1.3340104085,1.8951
33,7.72,1424.9673333333,0.0334700048,0.0533343166,78,454.73,0.3483217955,6.4045539873,3.5810184002,0.3880343647,1.9843906555,0.5224586116,1.4004752372,1.9001
276,1.54,351.5596666667,0.077824564,0.7488573432,25,436.05,0.184363943,7.0437883568,3.9565355273,1.4220670334,2.7823997669,0.6544338338,4.5992484527,1.777
275,1.74,435.703,0.077824564,2.0740518425,20,448.11,0.3742101639,6.8151264543,3.7608856618,1.424788172,2.4750098309,0.5583776411,3.0701093091,1.4173
268,2.59,375.1253333333,0.077824564,0.7415102691,25,440.92,0.1688069215,6.9171865671,3.8531322604,1.4555370382,2.7384480358,0.7224622988,18.4067418111,1.7498
273,2.1,375.0286666667,0.077824564,0.0002721139,30,467.38,0.118252248,6.7525383617,3.6041480784,2.1848021835,2.7065091325,0.6664068436,1.1569559801,1.5791
271,2.5,610.1686666667,0.077824564,0.0010884554,42,531.64,0.0799960326,6.1240067746,3.1010095508,1.8084687149,2.3078815748,0.7096729474,0.5798863078,1.3228
278,1.17,494.5706666667,0.077824564,1.9886080903,25,470.17,0.4878239591,6.3256986561,3.2993805549,1.1621982969,2.4367612907,0.9279082633,2.9103855518,1.3499
277,1.34,760.187,0.077824564,1.9747302835,33,520.25,0.4413137139,6.1358293055,3.1709428129,0.8936219169,2.3080625386,0.8087223925,3.2839198742,1.2684
204,4.4,547.618,0.0334700048,1.2451930243,38,509.61,0.4620057961,6.4598203123,3.5059149748,0.9461398919,2.4139041815,0.4732060029,0.0011,1.1141
274,1.76,642.9906666667,0.077824564,1.4672379342,40,479.03,0.523117671,6.6576718509,3.6438767019,0.3711633054,2.4258788299,0.5439556065,0.6806006979,1.6879
272,2.3,212.294,0.077824564,1.7600324478,18,421.85,0.1701173674,6.7311766073,3.4125799208,1.6617993442,3.1601559782,1.2351248114,0,1.5937
